PMID,Title,Include,Confidence,Reason,DownloadStatus,PDFPath,Labels
31849595,Children With Dyslexia and Familial Risk for Dyslexia Present Atypical Development of the Neuronal Phonological Network,True,0.85,Meets all core criteria for inclusion in language-network neuroimaging review,skipped,data/pdfs/31849595.pdf,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": [""dyslexia""]}"
27890810,"Interaction of language, auditory and memory brain networks in auditory verbal hallucinations",False,0.85,"This is a review article focusing on connectivity studies of auditory verbal hallucinations, not original research on language network organization",skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""uncertain"", ""participant_fit"": ""uncertain"", ""risk_flags"": [""review article"", ""hallucinations"", ""psychotic disorders""]}"
32057935,Left frontal aslant tract and lexical selection: Evidence from frontal lobe lesions,False,0.0,abstract_unavailable,skipped,,"{""risk_flags"": [""no_abstract""]}"
23001620,Identification of successful clinical fMRI sessions in children: an objective approach,False,0.85,Study focuses on fMRI quality assessment methodology rather than investigating language processing mechanisms,skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": [""methodology_focus"", ""quality_assessment""]}"
34910843,Brain responses during auditory word recognition vary with reading ability in Chinese school-age children,True,0.95,Meets all key criteria for inclusion in language-network neuroimaging review,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
26834609,Neural Correlates of Morphological Processing: Evidence from Chinese,True,0.85,Meets all core criteria for inclusion in language-network neuroimaging review,success,data/pdfs/26834609.pdf,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
22658973,Second language experience modulates functional brain network for the native language production in bimodal bilinguals,True,0.85,"Study investigates neural mechanisms of language processing in bilinguals using fMRI, aligns with review criteria",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
33716935,From Neurosurgical Planning to Histopathological Brain Tumor Characterization: Potentialities of Arcuate Fasciculus Along-Tract Diffusion Tensor Imaging Tractography Measures,False,0.85,Study focuses on surgical planning for brain tumors rather than investigating neural mechanisms of language processing,skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": [""surgical planning"", ""tumor resection"", ""gliomas"", ""pre-surgical tumor characterization""]}"
23458438,Functional language networks in sedentary and physically active older adults,True,0.85,"Study investigates neural mechanisms of language processing using fMRI with human participants, fits methodology and participant criteria, and provides explicit brain region interpretation.",success,data/pdfs/23458438.pdf,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
20420924,Multisensory conflict modulates the spread of visual attention across a multisensory object,False,0.85,Study focuses on multisensory attention and conflict processing rather than language-network mechanisms,skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": [""multisensory attention"", ""visual-auditory conflict"", ""letter stimuli used for attention/conflict paradigm rather than language processing""]}"
26859775,Gender Differences in Verbal and Visuospatial Working Memory Performance and Networks,False,0.0,abstract_unavailable,skipped,,"{""risk_flags"": [""no_abstract""]}"
23250955,Optimally efficient neural systems for processing spoken language.,True,0.95,Strong fit with language-network neuroimaging review criteria across all domains,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
28164141,Phonological and syntactic competition effects in spoken word recognition: evidence from corpus-based statistics.,True,0.9,Meets all key criteria for inclusion in language-network neuroimaging review,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
27984068,Age-related differences in resolving semantic and phonological competition during receptive language tasks,True,0.85,Meets all core criteria for language network neuroimaging review,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
22387168,The anterior left inferior frontal gyrus contributes to semantic unification,True,0.85,"Study examines neural mechanisms of semantic unification using fMRI and ERP with human participants, fitting review criteria",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
23507386,The role of the left prefrontal cortex in sentence-level semantic integration,True,0.95,Strong fit across all criteria with clear language-network neuroimaging focus,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
24244653,Large scale brain functional networks support sentence comprehension: evidence from both explicit and implicit language tasks,True,0.95,Meets all key criteria for language network neuroimaging study,success,data/pdfs/24244653.pdf,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
27583349,The Brain Effective Connectivity of Chinese during Rhyming Task,True,0.85,Study investigates neural mechanisms of Chinese language processing using fMRI connectivity analysis with human participants,success,data/pdfs/27583349.pdf,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
27916731,"Associations between the CNTNAP2 gene, dorsolateral prefrontal cortex, and cognitive performance on the Stroop task",False,0.85,Study focuses on genetic associations with brain structure and cognition rather than language processing networks,skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": [""genetic study"", ""structural MRI only"", ""cognitive control task (Stroop)""]}"
30765524,Multiple interactive memory representations underlie the induction of false memory,False,0.85,Abstract focuses on memory mechanisms rather than language processing networks,skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""yes"", ""participant_fit"": ""uncertain"", ""risk_flags"": [""false memories"", ""memory representations"", ""Deese-Roediger-McDermott task""]}"
30629612,Embedded word priming elicits enhanced fMRI responses in the visual word form area.,True,0.85,Meets all core criteria for neural mechanisms of language processing using fMRI methodology with human participants,success,data/pdfs/30629612.pdf,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
33582498,Clinical application of intraoperative trial-free online-based language mapping for patients with refractory epilepsy,False,0.85,Study focuses on surgical epilepsy mapping rather than general language network mechanisms,skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": [""epilepsy"", ""surgical"", ""intraoperative"", ""clinical_test""]}"
30176323,The Distinct Roles of Dorsal and Ventral Visual Systems in Naming of Chinese Characters,True,0.85,Meets all core criteria for inclusion in language-network neuroimaging review,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
33556881,The development of brain functional connectome during text reading,True,0.85,"Study investigates neural mechanisms of language processing using fMRI with human participants, aligns with review criteria",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
36075539,Separate neural subsystems support goal-directed speech listening,True,0.95,Abstract meets all key criteria for inclusion in language-network neuroimaging review,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
36517928,Neural correlates of audiovisual speech synchrony perception and its relationship with autistic traits,False,0.85,"Study focuses on multisensory integration in healthy adults, not specifically on language processing networks",skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": [""autism spectrum disorder"", ""autistic traits"", ""ASD patients""]}"
33360179,Chasing language through the brain: Successive parallel networks,False,0.0,abstract_unavailable,skipped,,"{""risk_flags"": [""no_abstract""]}"
31794712,The behavioral and neural basis of foreign language effect on risk-taking,True,0.85,"Study investigates neural mechanisms of language processing using fMRI with human participants, reporting specific brain regions and statistical tests",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
33865849,Morpho-semantic analysis of ambiguous morphemes in Chinese compound word recognition: An fMRI study,True,0.85,Meets all key criteria for language network neuroimaging study,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
24161281,Neural pathway in the right hemisphere underlies verbal insight problem solving,True,0.85,Meets all core criteria for language-network neuroimaging review with fMRI methodology and human participants,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
24607883,Neural division of labor in reading is constrained by culture: a training study of reading Chinese characters,True,0.85,Meets all core criteria for inclusion in language-network neuroimaging review,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
26777875,Development of neural basis for chinese orthographic neighborhood size effect,True,0.85,"Study investigates neural mechanisms of language processing using fMRI with human participants across developmental stages, reporting brain regions and statistical tests",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
28259773,Different activity patterns for action and language within their shared neural areas: An fMRI study on action observation and language phonology,True,0.85,"Meets all key criteria: fMRI study of language processing neural mechanisms with human participants, reports statistical tests and brain regions.",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
33817920,"Neural substrates of the executive function construct, age-related changes, and task materials in adolescents and adults: ALE meta-analyses of 408 fMRI studies",False,0.85,Abstract focuses on executive function rather than language processing,skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": [""executive function"", ""multiple-demand network"", ""inhibition"", ""switching"", ""working memory""]}"
37263104,Taxonomic and thematic relations rely on different types of semantic features: Evidence from an fMRI meta-analysis and a semantic priming study,True,0.85,"Abstract fits review criteria with fMRI meta-analysis and semantic task, human participants implied, relevant to language network mechanisms.",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
28924564,Signal processing of functional NIRS data acquired during overt speaking,True,0.85,"Study uses fNIRS methodology on human participants during spoken language tasks, reports neural activity in language-relevant brain regions with statistical analysis",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
32056450,Hierarchical Organization of Functional Brain Networks Revealed by Hybrid Spatiotemporal Deep Learning,True,0.85,"Study uses fMRI on human participants to investigate hierarchical organization of functional brain networks, aligning with review focus on neural mechanisms of language processing at network level",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
35064707,The role of left angular gyrus in the representation of linguistic composition relations,True,0.95,Meets all inclusion criteria with strong methodology and topic alignment,failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
32720845,The dynamic and task-dependent representational transformation between the motor and sensory systems during speech production,True,0.85,"Abstract fits language-network neuroimaging criteria with fMRI methodology, human participants, and explicit neural pathway analysis",failed,,"{""topic_fit"": ""yes"", ""method_fit"": ""yes"", ""participant_fit"": ""yes"", ""risk_flags"": []}"
25732072,Characterizing and differentiating task-based and resting state fMRI signals via two-stage sparse representations,False,0.85,Methodology mismatch - focuses on fMRI signal analysis rather than language processing,skipped,,"{""topic_fit"": ""no"", ""method_fit"": ""no"", ""participant_fit"": ""yes"", ""risk_flags"": [""no language task mentioned"", ""methodological focus on signal analysis rather than language processing""]}"
